SpecialOfferID,Description,DiscountPct,Type,Category,StartDate,EndDate,MinQty,MaxQty,rowguid,ModifiedDate
1,No Discount,0.00,No Discount,No Discount,May  1 2011 12:00AM,Nov 30 2014 12:00AM,0,,0290C4F5-191F-4337-AB6B-0A2DDE03CBF9,Apr  1 2011 12:00AM
2,Volume Discount 11 to 14,0.02,Volume Discount,Reseller,May 31 2011 12:00AM,May 30 2014 12:00AM,11,14,D7542EE7-15DB-4541-985C-5CC27AEF26D6,May  1 2011 12:00AM
3,Volume Discount 15 to 24,0.05,Volume Discount,Reseller,May 31 2011 12:00AM,May 30 2014 12:00AM,15,24,4BDBCC01-8CF7-40A9-B643-40EC5B717491,May  1 2011 12:00AM
4,Volume Discount 25 to 40,0.10,Volume Discount,Reseller,May 31 2011 12:00AM,May 30 2014 12:00AM,25,40,504B5E85-8F3F-4EBC-9E1D-C1BC5DEA9AA8,May  1 2011 12:00AM
5,Volume Discount 41 to 60,0.15,Volume Discount,Reseller,May 31 2011 12:00AM,May 30 2014 12:00AM,41,60,677E1D9D-944F-4E81-90E8-47EB0A82D48C,May  1 2011 12:00AM
6,Volume Discount over 60,0.20,Volume Discount,Reseller,May 31 2011 12:00AM,May 30 2014 12:00AM,61,,8157F569-4E8D-46B6-9347-5D0F726A9439,May  1 2011 12:00AM
7,Mountain-100 Clearance Sale,0.35,Discontinued Product,Reseller,Apr 13 2012 12:00AM,May 29 2012 12:00AM,0,,7DF15BF5-6C05-47E7-80A4-22BD1CE59A72,Mar 14 2012 12:00AM
8,Sport Helmet Discount-2002,0.10,Seasonal Discount,Reseller,May 30 2012 12:00AM,Jun 29 2012 12:00AM,0,,20C5D2CC-A38F-48F8-AC9A-8F15943E52AE,Apr 30 2012 12:00AM
9,Road-650 Overstock,0.30,Excess Inventory,Reseller,May 30 2012 12:00AM,Jul 30 2012 12:00AM,0,,0CF8472B-F9E6-4945-9E09-549D7DDE2198,Apr 30 2012 12:00AM
10,Mountain Tire Sale,0.50,Excess Inventory,Customer,May 14 2013 12:00AM,Jul 29 2013 12:00AM,0,,220444AD-2EF3-4E4C-87E9-3AA6EE39A877,Apr 14 2013 12:00AM
11,Sport Helmet Discount-2003,0.15,Seasonal Discount,Reseller,May 30 2013 12:00AM,Jun 29 2013 12:00AM,0,,E72DAB1D-F44D-448B-9FE2-F259A2F0210D,Apr 30 2013 12:00AM
12,LL Road Frame Sale,0.35,Excess Inventory,Reseller,May 30 2013 12:00AM,Jul 14 2013 12:00AM,0,,C0AF1C89-9722-4235-9248-3FBA4D9E5841,Apr 30 2013 12:00AM
13,Touring-3000 Promotion,0.15,New Product,Reseller,May 30 2013 12:00AM,Aug 29 2013 12:00AM,0,,5061CCE4-E021-45A8-9A75-DFB36CBBCE85,Apr 30 2013 12:00AM
14,Touring-1000 Promotion,0.20,New Product,Reseller,May 30 2013 12:00AM,Aug 29 2013 12:00AM,0,,1AF84A9E-A98C-4BD9-B48F-DC2B8B6B010B,Apr 30 2013 12:00AM
15,Half-Price Pedal Sale,0.50,Seasonal Discount,Customer,Jul 14 2013 12:00AM,Aug 14 2013 12:00AM,0,,03E3594D-6EBB-46A6-B8EE-A9289C0C2E47,Jun 14 2013 12:00AM
16,Mountain-500 Silver Clearance Sale,0.40,Discontinued Product,Reseller,Mar 31 2014 12:00AM,May 30 2014 12:00AM,0,,EB7CB484-BCCF-4D2D-BF73-521B20014174,Mar  1 2014 12:00AM
